NCM;EX;DESCRIÄ«O;AL÷QUOTA;
0303.2;;- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa-de serpente (Channa spp.), exceto subprodutos comest°veis de peixes das subposiá‰es 0303.91 a 0303.99:;;
0303.23.00;;-- Til†pias (Oreochromis spp.) ;0;
303.24;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
0303.24.10;;Bagre americano (Ictalurus punctatus) ;0;
0303.24.90;;Outros ;0;
0303.25.00;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) ;0;
0303.26.00;;-- Enguias (Anguilla spp.) ;0;
0303.29.00;;-- Outros ;0;
0303.3;;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest°veis de peixes das subposiá‰es 0303.91 a 0303.99:;;
0303.31.00;;"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,
Hippoglossus stenolepis) ";0;
0303.32.00;;-- Solha (Pleuronectes platessa) ;0;
0303.33.00;;-- Linguados (Solea spp.) ;0;
0303.34.00;;-- Pregado (Psetta maxima) ;0;
0303.39.00;;-- Outros ;0;
0303.4;;- Atuns (do gànero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest°veis de peixes das subposiá‰es 0303.91 a 0303.99:;;
